Дата подачи;Заказчик;Тип работ;Регион;Сумма тендера (тенге);Статус;Номер тендера;Срок (дней)
2024-01-10;ТОО СтройИнвест KZ;Строительство школы;Астана;245000000;Выигран;KZ-0001;240
2024-01-12;ГУ Отдел строительства г. Алматы;Капитальный ремонт дороги;Алматы;178000000;Проигран;KZ-0002;180
2024-01-15;ТОО KazBuild Group;Строительство жилого комплекса;Шымкент;1250000000;В процессе;KZ-0003;365
2024-01-18;АО НК КазАвтоЖол;Реконструкция трассы;Карагандинская область;980000000;Выигран;KZ-0004;300
2024-01-20;ТОО АтырауМунайСтрой;Строительство производственной базы;Атырау;456000000;Проигран;KZ-0005;210
2024-01-25;ГУ Управление строительства ВКО;Капитальный ремонт школы;Усть-Каменогорск;132000000;Выигран;KZ-0006;150
2024-01-28;ТОО AktobeStroy;Строительство детского сада;Актобе;210000000;В процессе;KZ-0007;200
2024-02-01;ГУ Отдел ЖКХ г. Тараз;Ремонт теплотрассы;Тараз;87000000;Выигран;KZ-0008;120
2024-02-03;ТОО PavlodarBuild;Строительство ТРЦ;Павлодар;760000000;Проигран;KZ-0009;330
2024-02-05;АО KEGOC;Строительство подстанции;Костанай;540000000;Выигран;KZ-0010;270
2024-02-08;ТОО Mangystau Construction;Реконструкция водопровода;Актау;120000000;В процессе;KZ-0011;160
2024-02-10;ГУ Отдел строительства г. Кызылорда;Капитальный ремонт больницы;Кызылорда;340000000;Выигран;KZ-0012;220
2024-02-12;ТОО Astana Engineering;Строительство бизнес-центра;Астана;890000000;Проигран;KZ-0013;300
2024-02-15;ТОО SemeyStroy;Строительство моста;Семей;670000000;В процессе;KZ-0014;280
2024-02-18;ГУ Управление строительства СКО;Капитальный ремонт детсада;Петропавловск;95000000;Выигран;KZ-0015;140
2024-02-20;ТОО Zhambyl Invest;Строительство склада;Тараз;110000000;Проигран;KZ-0016;150
2024-02-22;АО Самрук-Энерго;Строительство котельной;Экибастуз;430000000;Выигран;KZ-0017;210
2024-02-25;ТОО Almaty Road Service;Средний ремонт дороги;Алматы;156000000;В процессе;KZ-0018;170
2024-02-28;ГУ Отдел строительства г. Туркестан;Строительство спорткомплекса;Туркестан;390000000;Выигран;KZ-0019;250
2024-03-02;ТОО KaragandaPromStroy;Строительство цеха;Караганда;275000000;Проигран;KZ-0020;200
2024-03-05;ТОО Qostanay Build;Капитальный ремонт общежития;Костанай;88000000;Выигран;KZ-0021;130
2024-03-07;ГУ Отдел ЖКХ г. Уральск;Ремонт водопровода;Уральск;99000000;В процессе;KZ-0022;160
2024-03-10;ТОО ShymkentStroyCity;Строительство ЖК;Шымкент;1340000000;Выигран;KZ-0023;400
2024-03-12;АО КазТрансГаз;Строительство газопровода;Актобе;620000000;Проигран;KZ-0024;260
2024-03-15;ТОО Astana DorStroy;Капитальный ремонт моста;Астана;310000000;Выигран;KZ-0025;210
2024-03-18;ГУ Управление строительства Атырауской обл.;Строительство школы;Атырау;225000000;В процессе;KZ-0026;240
